Age,Number_of_Banks,Number_of_Loans,Due_Loans,Hard_Checks,Credit_Limit,Credit_Usage,Monthly_Income,Total_Limit,Debt_to_Income_Ratio,Score_Category
26,4,7,1,1,82607,37581,30004,102635,1.25,2
50,3,1,0,4,400007,82467,55407,434765,1.49,0
28,2,9,6,4,348076,79583,149610,394704,0.53,0
59,4,9,7,7,473614,145847,92642,515733,1.57,2
41,1,7,1,5,494331,200883,83522,523657,2.41,2
54,5,4,4,0,490819,212163,67359,529490,3.15,2
43,2,8,1,1,254830,188260,144454,281050,1.3,1
29,4,6,5,1,433590,211327,89325,475746,2.37,2
27,2,9,2,6,287839,121643,100282,312919,1.21,2
41,3,8,5,7,415394,280331,123952,446946,2.26,1
29,5,3,1,8,272168,211423,56260,313373,3.76,1
40,1,8,2,4,262752,63524,143751,306402,0.44,0
59,1,10,10,3,364250,212303,36440,399318,5.83,2
22,1,5,3,8,285332,111207,34467,324461,3.23,2
35,5,6,6,9,381754,174423,34105,431146,5.11,2
56,3,7,6,7,380415,168398,67022,407585,2.51,2
43,3,4,3,2,469101,242259,102129,484610,2.37,2
49,1,8,2,5,413343,181264,118987,444477,1.52,2
41,2,4,2,0,101352,43206,102416,142951,0.42,2
49,3,1,0,1,467654,135400,75564,496527,1.79,0
50,1,1,0,5,57380,42186,33440,77431,1.26,1
33,3,6,2,9,417622,304056,33145,442477,9.17,1
23,2,9,9,7,159700,101630,63977,178181,1.59,1
23,5,4,4,0,141784,63906,134342,176826,0.48,2
20,5,3,3,3,168974,107130,72422,194147,1.48,1
35,5,2,0,0,281231,109178,55543,311840,1.97,2
49,1,7,4,0,441016,145862,115379,485310,1.26,2
59,1,9,4,4,250163,147561,33454,273019,4.41,2
29,1,1,0,9,127425,91905,128787,160088,0.71,1
36,3,4,2,0,399540,132117,103615,413880,1.28,2
45,3,8,5,1,54883,26068,32758,85209,0.8,2
34,4,3,2,2,441674,264656,48256,465058,5.48,2
51,2,4,3,10,183157,87136,72343,201515,1.2,2
33,5,6,5,0,319870,245402,64581,334914,3.8,1
50,5,5,4,7,120839,94463,53580,151986,1.76,1
20,3,8,0,1,240306,174758,102204,263816,1.71,1
35,2,4,0,0,271083,58762,135994,293685,0.43,0
45,2,7,1,8,252602,79065,38437,266660,2.06,2
39,3,5,3,0,464818,132809,33231,507966,4.0,0
31,2,10,7,1,466013,209515,65412,483028,3.2,2
56,3,9,2,7,453894,110657,42116,491978,2.63,0
25,5,1,1,8,130781,41082,39849,173195,1.03,2
57,3,2,2,8,299177,136504,32043,338921,4.26,2
29,5,5,1,1,396584,285488,122155,412302,2.34,1
40,4,2,1,8,84039,31573,117586,102058,0.27,2
24,5,9,1,3,395286,291943,43639,407619,6.69,1
27,3,3,3,6,362698,102542,57870,403907,1.77,0
26,2,7,7,10,418436,192562,92753,436920,2.08,2
44,4,10,10,10,168270,50076,138551,213821,0.36,0
29,5,9,6,8,71105,16154,35987,84253,0.45,0
32,4,7,7,4,345204,193385,86055,385779,2.25,2
20,3,8,7,7,228628,71016,44435,253342,1.6,2
37,1,1,1,10,252649,85573,81554,282207,1.05,2
41,4,2,0,3,404588,256723,80224,442025,3.2,1
53,5,3,1,2,91402,51706,48961,107329,1.06,2
20,4,3,2,5,450480,199091,41146,497843,4.84,2
57,5,1,0,10,292681,90067,41590,311894,2.17,2
35,5,3,3,2,122792,44371,127129,148836,0.35,2
30,3,4,0,2,95530,76242,91216,138022,0.84,1
42,5,10,3,8,348967,84102,65903,394678,1.28,0
50,4,3,0,0,387326,294609,96093,405083,3.07,1
39,1,9,8,2,114610,25795,149631,138239,0.17,0
40,3,3,3,1,97828,68388,149454,130722,0.46,1
60,2,2,1,7,127681,61848,147953,174746,0.42,2
50,2,6,6,1,180402,53150,108879,204307,0.49,0
42,5,10,0,9,285222,222128,74974,323830,2.96,1
22,4,10,1,7,267286,195568,31769,277901,6.16,1
21,4,3,3,2,464113,335522,86088,496005,3.9,1
58,5,5,5,0,494539,350253,98783,518570,3.55,1
24,4,6,4,9,107175,50501,30375,130497,1.66,2
48,3,10,10,8,54101,32499,137151,89935,0.24,1
30,1,8,1,4,461501,202359,102450,510487,1.98,2
37,1,9,9,4,406872,218112,81043,417594,2.69,2
53,5,3,0,7,140638,108212,122024,157140,0.89,1
54,5,7,3,3,291500,118843,77227,329739,1.54,2
55,5,3,2,2,314108,155705,62770,333000,2.48,2
34,3,5,0,2,235137,87149,98848,278111,0.88,2
42,5,6,3,2,489954,323752,90812,527275,3.57,1
35,3,4,1,3,487749,170623,134084,511238,1.27,2
26,2,6,6,0,480772,192382,145661,520810,1.32,2
51,2,10,4,5,264855,154819,71652,295834,2.16,2
52,4,8,2,5,96826,65831,69311,133339,0.95,1
54,4,1,0,8,239676,137473,75663,256486,1.82,2
45,2,9,0,1,97272,51530,87155,140869,0.59,2
37,2,7,7,2,244098,130704,40937,262393,3.19,2
43,5,2,1,3,294565,80567,129158,324823,0.62,0
50,1,7,7,0,83206,29702,87331,108342,0.34,2
45,2,1,1,8,332946,160900,53567,362525,3.0,2
39,2,8,5,9,308663,246521,110807,328140,2.22,1
22,3,9,9,10,67250,20687,82551,104056,0.25,2
24,5,9,3,7,159518,115122,95393,175685,1.21,1
51,5,2,1,7,279300,69130,90461,291113,0.76,0
55,3,7,6,5,368983,127090,107485,404073,1.18,2
28,5,3,0,2,182820,68876,125944,220514,0.55,2
41,4,9,3,3,370892,87127,98388,415468,0.89,0
27,1,8,8,3,62072,34271,146328,108210,0.23,2
47,3,3,0,4,457427,108608,55419,486694,1.96,0
32,2,5,0,2,256855,116261,144459,283233,0.8,2
23,5,1,0,8,480311,378109,51521,510440,7.34,1
27,4,8,0,5,159581,102771,82473,174808,1.25,1
50,1,6,1,9,276045,185113,58676,309876,3.15,1
58,3,6,3,9,318132,85701,32715,335343,2.62,0
45,4,9,7,1,179973,60258,65231,203337,0.92,2
42,2,10,4,10,446140,282209,93083,483268,3.03,1
50,4,5,4,6,384551,289456,107182,432609,2.7,1
23,5,1,1,8,346177,100304,34850,391138,2.88,0
41,5,2,1,4,303296,114078,60413,319324,1.89,2
43,5,1,1,10,114084,50937,77298,133216,0.66,2
46,2,7,6,6,290518,224020,126909,303992,1.77,1
46,5,2,0,7,372305,208449,97894,415842,2.13,2
30,5,6,6,9,71597,49770,66989,92263,0.74,1
30,3,4,4,4,77831,37279,94725,90915,0.39,2
33,5,10,8,6,108293,72091,119116,148065,0.61,1
48,3,7,7,3,157825,96101,54635,172323,1.76,1
24,1,7,2,10,171337,41255,53486,211532,0.77,0
29,2,6,0,8,329425,253381,48184,346315,5.26,1
53,4,2,0,9,114108,75758,145175,142672,0.52,1
42,3,4,4,1,446226,293910,97361,476762,3.02,1
26,2,4,1,9,326014,114578,115235,345218,0.99,2
49,3,10,2,5,426629,167064,108264,437348,1.54,2
23,2,4,0,1,266688,106189,135839,286530,0.78,2
28,4,1,1,9,378301,173679,50750,411746,3.42,2
31,5,8,4,2,356881,164712,119054,394749,1.38,2
42,5,9,4,4,496358,146179,135295,530703,1.08,0
50,4,7,3,1,100819,60027,60372,139255,0.99,2
40,1,7,5,0,254045,83241,56678,266223,1.47,2
37,3,2,1,0,442704,231823,101241,470232,2.29,2
28,1,1,1,6,192596,99055,121316,231221,0.82,2
51,4,4,0,0,130752,46758,131518,179794,0.36,2
29,4,3,3,3,495299,166028,42767,506278,3.88,2
21,2,3,1,3,211180,58118,77109,234700,0.75,0
41,5,2,0,2,171247,73606,92970,218134,0.79,2
44,4,3,0,2,414993,263872,82837,445841,3.19,1
48,1,9,1,1,227368,88419,121956,250807,0.73,2
57,5,1,0,2,223146,120703,129066,260674,0.94,2
59,4,6,0,10,193302,129537,97171,223857,1.33,1
48,4,5,0,1,132635,90796,64446,176759,1.41,1
44,3,1,1,3,405580,229243,86324,443552,2.66,2
28,1,2,2,8,131499,47788,120094,181333,0.4,2
50,4,5,4,3,423262,121009,70925,459425,1.71,0
55,4,1,0,2,192979,54393,76170,203021,0.71,0
46,1,3,2,10,88883,41774,44208,105724,0.94,2
51,2,2,1,1,156815,113049,112355,197037,1.01,1
34,4,10,0,9,311177,220339,127652,328399,1.73,1
21,4,8,0,5,206559,134694,136884,227250,0.98,1
40,3,2,0,9,426393,165784,53165,453169,3.12,2
36,3,10,0,2,444387,274579,87131,479393,3.15,1
36,4,8,8,4,334548,206825,66444,384387,3.11,1
60,3,10,0,5,315990,77264,77873,335248,0.99,0
23,4,7,4,1,406606,207766,106092,436447,1.96,2
54,4,3,3,4,151088,103539,143876,163539,0.72,1
51,2,3,2,7,455815,317017,95976,503906,3.3,1
33,4,8,4,2,472404,300827,90129,483292,3.34,1
23,4,7,1,9,444245,198429,95619,487223,2.08,2
58,1,4,3,6,119317,31636,100248,130826,0.32,0
29,1,5,5,1,231594,174716,147507,274596,1.18,1
50,3,6,1,10,431805,97291,147800,457051,0.66,0
59,5,4,2,1,395133,308321,119408,433654,2.58,1
50,3,7,1,1,485849,371386,147981,526313,2.51,1
57,2,8,1,1,336564,192315,101256,360055,1.9,2
23,3,10,9,4,280242,76958,53339,318332,1.44,0
31,4,6,5,2,214319,124455,30544,251487,4.07,2
48,3,2,1,5,145876,39138,125435,167260,0.31,0
39,2,1,1,2,64245,40345,113387,75664,0.36,1
44,3,3,3,10,53168,12695,95034,75628,0.13,0
60,4,1,1,3,180831,111375,84270,217726,1.32,1
23,1,2,2,6,267939,190014,37017,303672,5.13,1
33,1,8,0,5,342563,221325,95359,355629,2.32,1
28,4,5,2,6,262126,113491,30996,296678,3.66,2
53,4,1,0,7,494228,217940,141489,505352,1.54,2
39,1,6,6,0,203809,84597,86027,232059,0.98,2
51,5,6,0,7,347211,104208,76490,394587,1.36,2
35,1,2,2,7,477831,115409,137065,516810,0.84,0
24,2,5,0,3,102953,44072,112045,113635,0.39,2
30,3,8,0,5,372359,297474,109309,387418,2.72,1
34,4,6,6,2,142327,48666,57494,164854,0.85,2
54,1,8,5,9,206842,120664,53838,242074,2.24,2
47,2,6,3,9,166605,122470,51842,188882,2.36,1
58,2,5,4,9,100506,65942,139336,118564,0.47,1
56,5,2,2,8,94644,29856,137514,120040,0.22,2
51,2,9,2,7,201432,57243,44984,229675,1.27,0
36,4,6,2,7,192583,65510,143285,223319,0.46,2
51,5,2,1,0,115262,49666,111981,149911,0.44,2
50,5,4,1,6,467737,317355,94781,501421,3.35,1
23,3,2,1,6,259726,167779,82481,273395,2.03,1
30,1,6,1,3,264580,163595,44860,286102,3.65,1
53,5,8,7,5,465191,117007,131153,490697,0.89,0
40,1,9,2,3,429883,95405,37899,453807,2.52,0
59,2,4,3,5,69291,25531,49420,81124,0.52,2
55,5,9,3,0,146909,42450,128701,195190,0.33,0
32,3,2,1,7,338423,168311,136511,352150,1.23,2
39,5,6,5,10,411912,249232,78904,430253,3.16,1
27,5,9,2,6,266824,105149,64567,298406,1.63,2
26,4,4,3,3,88550,42734,95960,129794,0.45,2
53,4,8,1,3,424112,136516,69586,473239,1.96,2
25,4,1,1,2,319089,143352,125514,368983,1.14,2
36,1,2,2,2,199606,57171,86669,219190,0.66,0
34,4,4,3,3,210431,95749,75625,258736,1.27,2
59,2,3,0,2,381696,87780,61295,396011,1.43,0
50,2,9,4,7,321030,79275,147191,361232,0.54,0
30,3,7,0,4,91992,63835,86629,140345,0.74,1
24,3,5,3,8,362669,186583,140201,406679,1.33,2
51,5,8,0,1,196683,84536,85073,242471,0.99,2
20,1,2,2,10,309052,89466,135032,356922,0.66,0
36,1,8,8,5,416801,320614,117205,463550,2.74,1
40,4,2,2,2,309950,203750,52931,337337,3.85,1
35,2,9,2,3,197397,130289,53670,225917,2.43,1
31,1,8,6,4,381524,225831,126900,396805,1.78,2
32,2,9,7,10,237955,120022,132524,262630,0.91,2
59,3,10,9,1,402379,112814,109215,444248,1.03,0
57,4,1,0,0,117048,63685,50760,161241,1.25,2
29,2,9,8,0,271281,110219,76119,318187,1.45,2
29,1,8,6,4,67152,41243,80413,82631,0.51,1
57,2,2,1,3,227540,72849,84695,255644,0.86,2
31,1,9,2,6,334730,174803,66040,350167,2.65,2
51,1,2,2,10,177031,111202,118978,205780,0.93,1
55,5,5,0,2,193272,120142,149662,230867,0.8,1
58,1,2,1,9,201828,45244,43579,242875,1.04,0
53,4,10,5,8,83297,30046,117828,93687,0.25,2
56,2,3,2,8,281651,75974,95748,325487,0.79,0
23,3,7,6,1,453906,152526,140315,490304,1.09,2
30,4,1,1,3,154633,106689,47995,165405,2.22,1
31,1,3,2,6,272346,89483,144831,316877,0.62,2
51,3,8,2,8,196940,86403,86815,236179,1.0,2
59,5,7,2,2,144815,101198,88192,155680,1.15,1
58,3,1,1,5,433540,346785,99018,472500,3.5,1
39,3,9,8,0,159189,86987,76269,205791,1.14,2
25,1,8,0,4,399217,257501,93127,440379,2.77,1
26,1,5,4,5,265424,95150,43588,307956,2.18,2
31,4,9,8,8,263932,69144,64449,276728,1.07,0
27,3,2,2,8,449606,276102,59607,484820,4.63,1
29,1,6,3,10,330113,232876,139516,355997,1.67,1
29,4,1,0,2,78608,26563,69976,94217,0.38,2
31,5,7,1,4,456304,162524,138429,491238,1.17,2
39,2,9,3,0,472277,337390,84124,508216,4.01,1
22,1,3,3,6,310113,67508,42772,322504,1.58,0
57,3,7,5,2,179911,65880,144201,217417,0.46,2
40,3,9,9,2,346821,246747,143773,358324,1.72,1
33,2,6,0,6,74379,56229,87333,85135,0.64,1
41,3,1,1,4,489078,270051,142946,508819,1.89,2
33,3,6,1,9,368372,286682,46131,379761,6.21,1
21,2,5,1,3,187362,118282,140012,229064,0.84,1
28,4,2,2,6,155863,124435,41484,172666,3.0,1
38,1,9,8,4,323330,130763,69438,353704,1.88,2
35,2,10,6,1,105766,29434,40011,132163,0.74,0
21,5,4,1,4,275044,55267,104981,317934,0.53,0
27,4,8,3,0,154427,73585,104379,185500,0.7,2
39,3,2,2,0,370597,293458,66416,408324,4.42,1
21,3,2,0,5,139184,101988,85816,183470,1.19,1
51,5,2,1,9,476964,156227,73374,488441,2.13,2
34,3,9,9,9,298058,187775,50847,329187,3.69,1
43,5,3,2,1,63067,27922,43106,93029,0.65,2
45,4,1,0,4,110126,68879,94369,148798,0.73,1
37,3,7,0,8,420989,321613,109619,463338,2.93,1
50,5,10,4,9,77668,57641,54514,105150,1.06,1
54,2,3,1,2,174730,47203,51928,194336,0.91,0
26,1,8,5,3,430240,159179,78467,446650,2.03,2
23,5,10,1,7,151996,76042,70291,189174,1.08,2
24,5,8,6,9,266762,91538,43849,285285,2.09,2
60,5,4,4,6,274332,74751,33177,290636,2.25,0
36,1,2,2,4,240609,187619,59523,273563,3.15,1
42,3,6,5,1,499699,148158,49689,529462,2.98,0
40,1,5,3,10,135823,74199,148531,185800,0.5,2
57,3,7,3,10,220752,74623,42352,242881,1.76,2
25,3,3,3,6,487612,356252,85386,523768,4.17,1
39,5,3,2,0,78587,41809,94463,99699,0.44,2
51,4,8,8,10,404690,101579,81252,453300,1.25,0
32,4,8,8,4,334393,135820,86814,374213,1.56,2
59,5,6,4,8,329099,162545,70449,339654,2.31,2
46,3,6,4,10,161326,33359,131271,202960,0.25,0
24,2,10,3,3,222259,147718,131789,246633,1.12,1
37,3,1,0,7,304381,183750,138547,330855,1.33,1
59,5,2,0,1,310646,173026,99747,327267,1.73,2
27,1,2,1,3,369292,118118,55252,405068,2.14,2
58,2,7,4,10,78609,52690,117771,105612,0.45,1
42,4,10,2,7,73528,55479,66002,104315,0.84,1
27,1,10,1,9,73863,45834,147257,95700,0.31,1
59,5,7,1,6,128455,37113,110774,165408,0.34,0
29,2,8,6,6,174752,104222,76455,213029,1.36,2
33,2,2,2,3,236511,103532,124671,246751,0.83,2
23,3,9,7,0,272289,165067,45465,306387,3.63,1
38,2,2,0,1,287000,87131,51603,300582,1.69,2
28,1,8,0,8,259291,92706,74222,270357,1.25,2
44,5,9,4,9,80127,61492,122809,126269,0.5,1
40,1,9,8,5,389342,242666,135367,421340,1.79,1
55,2,2,2,1,374492,156216,52417,397833,2.98,2
58,2,2,1,0,332220,236347,146395,346112,1.61,1
40,3,9,2,3,270434,161979,47324,296709,3.42,2
34,3,3,3,8,317602,80776,31329,339311,2.58,0
31,1,2,0,3,365444,121066,31883,399709,3.8,2
46,1,9,5,1,325806,171520,70112,350703,2.45,2
24,5,6,5,1,427358,316257,130066,440224,2.43,1
56,3,10,1,7,102458,62962,69799,144362,0.9,1
54,3,2,1,6,132920,62769,115698,159785,0.54,2
32,2,1,0,4,121566,32417,141747,147204,0.23,0
28,5,2,2,4,416616,271160,100047,464322,2.71,1
43,3,5,4,4,321042,124502,56151,350772,2.22,2
23,4,9,8,2,79821,61978,54754,127154,1.13,1
37,2,10,7,1,473059,246050,64114,511837,3.84,2
33,2,10,7,5,120394,44170,74657,142538,0.59,2
55,3,2,0,8,451887,301728,102937,474976,2.93,1
27,4,1,1,3,126655,57727,75831,176134,0.76,2
29,2,3,1,10,89506,27415,144095,109872,0.19,2
39,1,5,5,9,300757,174032,101707,332358,1.71,2
22,2,1,0,4,144391,73637,127215,171069,0.58,2
21,1,8,2,8,493620,277823,41536,516147,6.69,2
30,4,6,1,5,195834,45083,112764,243643,0.4,0
60,2,7,1,1,50569,16589,113320,72110,0.15,2
20,1,10,1,5,294777,216222,31720,318941,6.82,1
33,3,5,3,2,68166,38750,58655,90464,0.66,2
45,2,10,0,10,424011,288091,97667,443458,2.95,1
48,1,6,0,5,463022,292911,147317,475360,1.99,1
20,4,10,0,2,365825,143012,121660,408536,1.18,2
34,5,6,0,6,439043,98952,78717,452587,1.26,0
50,3,3,2,7,425217,178865,50321,440853,3.55,2
59,1,3,0,6,245663,166299,103890,287369,1.6,1
54,4,2,2,4,484846,279845,72550,498598,3.86,2
51,4,8,6,2,125678,63275,98134,142026,0.64,2
44,5,7,5,5,305255,206229,75453,346968,2.73,1
40,4,10,6,10,268991,100524,121934,285938,0.82,2
56,3,6,5,3,82571,49598,124170,107747,0.4,1
56,2,7,0,5,440439,213078,71976,460123,2.96,2
37,5,10,4,1,486537,153975,120015,503903,1.28,2
20,4,6,0,0,117536,64063,95089,160802,0.67,2
24,4,2,2,1,104107,40395,39077,132057,1.03,2
35,4,3,1,8,489624,148045,33924,507137,4.36,2
32,3,4,1,9,339444,111889,32810,353071,3.41,2
21,3,2,1,9,211311,143280,76746,239818,1.87,1
56,4,9,0,4,200425,65361,130940,215903,0.5,2
54,1,6,6,3,351975,232234,64478,363939,3.6,1
30,4,7,6,2,479708,370457,76725,526322,4.83,1
47,1,10,6,5,256648,145495,30647,270088,4.75,2
35,1,5,1,6,423123,283634,119417,460202,2.38,1
52,3,1,1,10,305776,64041,63809,346791,1.0,0
37,4,4,2,0,129770,29818,46030,140401,0.65,0
51,3,8,6,0,134585,50174,90661,178533,0.55,2
46,2,3,1,5,264534,209594,118250,290364,1.77,1
55,2,2,1,3,187249,116236,148510,203680,0.78,1
34,3,9,0,10,282310,181115,93402,304371,1.94,1
21,1,1,0,2,96735,60367,43278,121145,1.39,1
37,5,5,1,7,346563,223710,91599,366099,2.44,1
30,5,1,1,1,167807,133466,116734,201997,1.14,1
54,4,6,3,7,436772,256302,35921,447911,7.14,2
41,5,3,2,4,393961,243897,128055,438527,1.9,1
28,2,5,5,2,424989,192893,59235,460431,3.26,2
52,3,9,9,10,420561,97247,93120,443618,1.04,0
26,1,5,4,10,246768,108083,138124,259686,0.78,2
56,2,9,0,0,56442,19570,81005,67092,0.24,2
22,2,5,4,6,212145,123759,123480,239883,1.0,2
32,1,10,8,1,322504,65893,33866,353969,1.95,0
28,3,1,1,4,481126,196290,95461,522348,2.06,2
50,4,10,4,5,496542,172448,48590,506621,3.55,2
51,2,5,1,0,353657,226851,54251,375198,4.18,1
34,3,5,5,4,367396,215583,106922,404253,2.02,2
31,4,8,8,8,180994,46486,89055,199233,0.52,0
60,5,6,1,0,234706,123833,65628,250731,1.89,2
52,2,2,0,0,116125,34062,40041,129837,0.85,0
22,1,6,3,2,267546,57371,142631,285619,0.4,0
35,5,7,5,6,262878,112759,144010,310708,0.78,2
40,5,9,6,8,283787,209527,141767,299355,1.48,1
42,2,10,3,7,261789,142660,82421,284441,1.73,2
49,5,9,0,6,360322,194082,92771,380448,2.09,2
58,4,10,2,4,54979,33647,121152,73186,0.28,1
41,2,2,0,0,362043,227356,148299,406453,1.53,1
56,5,9,9,7,299514,160945,31092,342211,5.18,2
27,1,2,1,6,68786,36751,140497,95840,0.26,2
21,1,6,6,10,367496,117369,88904,388456,1.32,2
60,5,9,3,5,234077,148973,139764,283000,1.07,1
59,5,9,3,10,402045,190459,139751,448280,1.36,2
52,3,2,0,10,212749,71225,112232,262046,0.63,2
36,3,2,0,7,441650,202449,121242,479483,1.67,2
59,1,8,1,1,81817,61365,66294,92414,0.93,1
58,3,7,6,5,290647,102075,142242,331421,0.72,2
40,4,3,2,2,410430,228122,62601,445742,3.64,2
40,4,6,2,6,483974,357996,54223,503259,6.6,1
30,3,3,0,4,156955,102359,54452,182665,1.88,1
23,5,4,3,8,59785,16272,140326,105614,0.12,0
21,3,4,2,3,150949,56144,91361,186184,0.61,2
37,1,1,0,5,444197,192665,130359,478919,1.48,2
55,2,3,3,8,79052,55244,40198,112822,1.37,1
33,5,3,3,1,117845,67017,34282,128862,1.95,2
24,5,5,3,0,310938,89958,66166,355643,1.36,0
20,1,5,5,10,364685,178038,78905,386278,2.26,2
47,5,2,2,0,170463,55716,77641,199247,0.72,2
41,1,8,4,5,60607,24408,43068,99711,0.57,2
22,2,4,0,5,459005,245995,89640,495383,2.74,2
34,4,4,1,8,394392,137744,45631,412524,3.02,2
59,5,1,0,4,90860,69668,65968,128466,1.06,1
55,5,6,5,2,329917,263624,108830,361339,2.42,1
32,1,9,5,7,262103,197996,87524,300120,2.26,1
41,2,2,2,5,116803,83164,85234,143900,0.98,1
24,1,9,1,10,337503,149875,119383,348688,1.26,2
30,3,9,6,2,459215,326400,117518,488214,2.78,1
30,4,10,9,6,495068,368451,97024,521652,3.8,1
20,5,5,4,4,58987,29572,63557,97956,0.47,2
32,2,7,7,8,447496,154026,85985,482752,1.79,2
45,5,4,0,6,411371,284169,97976,449785,2.9,1
52,2,7,2,5,463025,213073,142760,497888,1.49,2
47,1,7,6,9,295392,152856,43951,330425,3.48,2
57,2,2,1,10,465302,103492,71611,497262,1.45,0
49,2,7,2,1,296148,198098,124547,337502,1.59,1
20,2,6,2,5,439510,293278,116060,454543,2.53,1
30,1,3,3,2,157089,80494,91940,174257,0.88,2
45,3,2,2,4,242698,138041,145920,266830,0.95,2
52,4,3,1,9,122560,88709,145495,134664,0.61,1
54,3,5,3,0,381492,304511,44311,394760,6.87,1
41,4,5,5,3,142598,75960,114717,168912,0.66,2
51,2,3,3,0,169756,56799,137483,219074,0.41,2
48,3,3,1,8,420742,92905,131614,436896,0.71,0
46,1,4,3,4,481861,179362,94011,511903,1.91,2
54,3,2,2,10,228903,47518,68894,245624,0.69,0
57,1,5,0,5,139013,29447,111762,185591,0.26,0
48,3,9,6,9,343060,175430,109140,360992,1.61,2
37,1,7,2,4,307575,128612,92744,325595,1.39,2
38,4,7,7,8,359874,228437,46506,396281,4.91,1
58,3,2,2,8,161536,47304,68626,201708,0.69,0
52,2,10,4,5,278584,89441,67782,292818,1.32,2
20,1,3,3,10,278974,218990,49305,319183,4.44,1
46,4,4,0,1,450932,165190,93485,468321,1.77,2
43,4,1,0,0,447631,165033,136626,485472,1.21,2
59,2,8,5,6,157644,69393,66482,187496,1.04,2
25,2,4,0,9,435079,217604,48051,468030,4.53,2
25,5,7,2,4,111258,43164,84566,157583,0.51,2
60,1,5,5,9,472328,128772,43476,518021,2.96,0
22,3,4,3,9,199384,129886,67587,216675,1.92,1
32,3,9,4,3,206035,136540,46976,222416,2.91,1
60,4,10,10,7,163898,41304,69103,203482,0.6,0
37,2,6,3,10,121964,30817,110999,138697,0.28,0
28,5,9,4,8,214579,134568,40324,262052,3.34,1
24,4,9,4,5,288391,222105,92050,312377,2.41,1
40,5,3,3,0,256462,136857,65456,269197,2.09,2
21,2,8,6,1,465623,244141,45097,479105,5.41,2
52,4,10,4,6,444506,322640,45456,487189,7.1,1
40,1,5,3,3,284218,185382,40322,300331,4.6,1
50,1,8,7,4,54788,36134,39521,78890,0.91,1
34,1,7,3,8,450838,306559,78754,470343,3.89,1
22,5,1,0,3,85279,22218,35244,120682,0.63,0
25,4,8,3,3,207273,126525,46248,254545,2.74,1
42,3,4,3,4,53366,42277,60221,66739,0.7,1
43,2,9,7,1,446247,101865,116155,494471,0.88,0
60,1,10,2,8,219138,158539,142232,243572,1.11,1
31,2,6,4,6,292249,99106,82028,330633,1.21,2
21,3,4,3,3,210540,125982,49316,243694,2.55,2
47,1,2,1,3,317741,205932,75735,358272,2.72,1
51,3,9,4,1,431200,196067,58692,466909,3.34,2
43,5,2,0,1,204690,95529,110933,241151,0.86,2
29,5,8,2,6,245813,69281,126874,275822,0.55,0
57,2,5,1,0,93824,49074,101527,120689,0.48,2
30,3,4,2,8,198923,140750,109061,230908,1.29,1
29,2,4,4,8,187752,121702,32049,232970,3.8,1
45,3,9,0,7,373878,265084,107151,384536,2.47,1
39,4,2,0,8,196516,142861,107170,238822,1.33,1
50,4,5,3,1,411031,96982,38561,434918,2.52,0
35,4,5,3,5,109710,83296,50736,157074,1.64,1
38,4,9,5,4,187133,77807,52245,216505,1.49,2
25,2,10,8,0,456255,277009,129740,476239,2.14,1
22,1,7,7,5,497151,211688,104273,529891,2.03,2
44,5,10,9,4,75735,31794,36509,118105,0.87,2
20,2,8,5,2,163598,102845,127275,184220,0.81,1
37,4,6,4,6,226449,95668,38906,246794,2.46,2
